reno take credit movie 's success .,pos
"despite film 's shortcoming , story quietly moving .",pos
"despite dry wit compassion , film suffers philosophical emptiness maddeningly sedate pacing .",neg
central character n't complex enough hold interest .,neu
"rifkin doubt fancy something hubert selby jr. , n't ounce honest poetry entire script ; 's simply crude unrelentingly exploitative .",very neg
"dodgy mixture cutesy romance , dark satire murder mystery .",neu
time 8 crazy night come close hitting comedic satirical target offbeat musical number .,neu
... quite good providing good old fashioned spook .,pos
"husky beautiful , border collie funny overall feeling genial decent .",pos
much plodding sensitivity .,neu
"end , computerized yoda finally reveals martial artistry , film ascends kinetic life teeming even cranky adult may rediscover quivering kid inside .",pos
"... way original , even memorable , downtown saturday matinee brain candy , doe n't disappoint .",pos
city sea gritty police thriller dysfunctional family dynamic one could wish .,pos
"elegantly crafted emotionally cold , puzzle whose intricate construction one admire difficult connect deeper level .",neg
"realized matter fantastic reign fire looked , story wa making sense .",neu
"easy watch , except annoying demeanour lead character .",neu
lead actor share chemistry engaging charisma .,very neg
come whether tolerate leon barlow .,neg
george lucas return visionary tale full nuance character dimension .,pos
"directing sure measured hand , ( haneke ) steer clear sensational offer instead unflinching objective look decidedly perverse pathology .",pos
"artwork spectacular unlike animaton japan , character move grace panache .",very pos
"storyline woven together skilfully , magnificent swooping aerial shot breathtaking , overall experience awesome .",very pos
"might want take reality check pay full ticket price see `` simone , '' consider dvd rental instead .",neg
director tom shadyac star kevin costner glumly mishandle story 's promising premise physician need heal .,neg
"weird , vulgar comedy 's definitely acquired taste .",neu
latently gay liking read hardly enough .,neu
alternately raucous sappy ethnic sitcom ... 'd wise send regret .,neg
film 's constant mood melancholy unhurried narrative masterfully controlled .,very pos
may feel compelled watch film twice pick book subject .,pos
"` tadpole ' wa one film declared year , 's really next pretty good thing .",neu
"'s memorable circuit 's shot digital video , whose tiny camera enables shafer navigate space large ... small ... considerable aplomb .",pos
"flashy gadget whirling fight sequence may look cool , ca n't distract flawed support structure holding equilibrium .",neg
thankfully go easy reel\/real world dichotomy ( jaglom ) pursued enervating determination venice\/venice .,pos
"american musical comedy know would n't exist without precedent yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit go essence broadway .",pos
"lift film high run-of-the-filth gangster flick refusal recognise signpost , discovering way bitter end without map .",pos
oliveira seems pursue silent film representation every mournful composition .,neu
"one experience mr. haneke 's sadistic tendency toward audience , one left sour taste one 's mouth , little else .",very neg
"character die others n't , film pretend living learned sort lesson , , really , nobody viewing audience care .",very neg
"somewhat le might , film good one , 've got hand director george clooney biting big job first time .",pos
manages please intended audience -- child -- without placing parent coma-like state .,pos
"confluence kiddie entertainment , sophisticated wit symbolic graphic design .",pos
"mr. goyer 's loose , unaccountable direction technically sophisticated worst way .",very neg
"best indie year , far .",very pos
animated drivel meant enhance self-image drooling idiot .,neg
"long , dull procession despair , set cello music culled minimalist funeral .",very neg
"none sound promising , indeed , first half sorority boy appalling ` comedy ' ever spill projector 's lens .",very neg
"fact , doe n't even seem like tried .",very neg
"waterlogged version ` fatal attraction ' teeny-bopper set ... sad , soggy potboiler waste talent attractive young lead .",neg
"affleck merely creates outline role still need grow , role ford effortlessly filled authority .",neu
writer \/ director m. night shyamalan 's ability pull together easily accessible story resonate profundity undeniable .,pos
get impression writer director burr steer know territory ... sense humor ha yet lose smug self-satisfaction usually associated better private school .,neg
"beautiful image solemn word disguise slack complacency ( godard 's ) vision , gorgeous piano string soundtrack drown tinny self-righteousness voice .",neg
"peppering urban study reference norwegian folktale , villeneuve creates maelstrom world bizarre credible real turn magical .",pos
"clash artificial structure story contemporary , naturalistic tone film ...",neg
"downbeat , period-perfect biopic hammer home heavy-handed moralistic message .",pos
seeking definitive account eisenstein 's life would better elsewhere .,neg
foster whitaker especially fine .,very pos
"hashiguchi cover territory wit originality , suggesting fourth feature -- first released u.s. -- major director emerging world cinema .",very pos
"ignore cliche concentrate city sea 's interpersonal drama , ai n't half-bad .",neu
"brooding quality , ash wednesday suspenseful ultimately unpredictable , sterling ensemble cast .",pos
's nothing gain watching .,very neg
"element really blow big one , part decent .",neu
.,neu
"ambitious , guilt-suffused melodrama crippled poor casting .",neg
best ( doe funny sequence ) looking leonard reminds comically subversive silence .,neu
solid filmmaking convincing character make high water mark genre .,very pos
"unfolds one politically audacious film recent decade country , especially france .",pos
movie doe excellent job critiquing every faltering half-step development criticizing feel like commiserating .,neg
mindless yet impressively lean spinoff last summer 's bloated effect fest mummy return .,pos
"take really long , slow dreary time dope tuck everlasting .",neg
"'re kind parent enjoys intentionally introducing kid film cause load irreparable damage year year costly analysis could never fix , one word - -- decasia",very neg
"end , n't much .",very neg
"... wa n't subject matter ultimately defeated film ... wa unfulfilling , incongruous , `` wait second , miss something ? ''",very neg
"proof filmmaker follow book , ca n't go wrong .",very pos
"philosophically , intellectually logistically mess .",very neg
action movie action icon 's decommissioned .,neg
best drug addition movie usually depressing rewarding .,neu
feature fincher 's characteristically startling visual style almost palpable sense intensity .,pos
... guiltless film nice evening .,pos
even steven spielberg ha dreamed blatant sickening product placement movie .,very neg
feature-length stretch ... strain show 's concept .,neg
"passion , melodrama , sorrow , laugther , tear cascade screen effortlessly ...",pos
hardly film come along every day .,pos
"tuxedo 's 90 minute screen time , n't one true ` chan moment ' .",neg
"farce parody comedy premise , n't comparison reality much commentary knowledge film .",neu
major problem windtalker bulk movie center wrong character .,neg
"tone errs shrill side , tempered soft southern gentility speaks beauty , grace closet full skeleton .",neu
"though filmed partly canada , paid full ha clever way capturing inner-city life reagan year .",pos
film delicate interpersonal dance .,pos
knockaround guy play like student film two guy desperately want quentin tarantino grow .,neg
"fourth `` pokemon '' diverting -- predictable -- adventure suitable matinee , message caution child disturbing world 's delicate ecological balance .",pos
"'s nothing exactly wrong , 's nearly enough 's right .",neg
undoubtedly scariest movie ever made tattoo .,pos
"brings together biggest name japanese anime , impressive result .",very pos
"though fan assuredly funny bone tickled , others find humor-seeking dollar best spent elsewhere .",neg
"audience advised sit near back squint avoid noticing truly egregious lip-non-synching , otherwise production suitably elegant .",pos
familiar utterly delightful .,pos
gag often stitch .,pos
"'s testament de niro director michael caton-jones movie 's end , accept character film , flaw .",pos
tour de force modern cinema .,pos
"familiar tale , one 's told countless filmmaker italian - , chinese - , irish - , latin - , indian - , russian - hyphenate american young men struggling balance conflicting cultural message .",neu
